genes	logFC.time1h.treatTg	logFC.time2h.treatTg	logFC.time6h.treatTg	logFC.time24h.treatTg	logCPM	F	PValue	FDR
Rab29	0.779092608690966	1.5958750587912	-0.414779805962076	-0.348492993612245	-0.123901553410115	0.992022859542009	0.423063186768804	0.768962729214132
4930447F24Rik	1.69761179317388	2.6118416874604	0.1240365291474	-1.44677465308669	-1.43470836908248	0.984655624318506	0.423102419539372	0.768962729214132
Fhod3	0.0327164904588565	0.339079259027751	-0.0574715451030626	-0.122699416126171	4.38232862598637	0.995719527666846	0.423106347328609	0.768962729214132
Sctr	1.61572703361927	2.72086158846997	6.03271177746814	0.15072325130124	-0.513599776951783	0.986846122255549	0.423121977806454	0.768962729214132
Mapk15	0.149686514013801	0.572060546116916	-0.26009996118538	-0.386556139501815	3.01805564294341	0.995517867313795	0.423221685076972	0.769032548095501
Fermt3	1.52977566015483	1.46478153185225	0.73492217204718	0.432359014442706	0.8723143864249	0.995494434757567	0.423233034993713	0.769032548095501
Mafb	0.479685243501991	0.807595758191912	0.260081202022399	0.993290802599414	1.79800804762153	0.995576431643472	0.423294944485174	0.769058899176515
Tomm34	-0.00785370836701106	0.0200276544250918	-0.243924847957213	-0.0070330716128412	5.6572700331485	0.995154657378383	0.423395815998658	0.769058899176515
H2-Oa	7.42017394859511	4.63909257859217	7.26661155263978	-0.520758060185921	-1.53283837916545	0.996258947864212	0.423407801273238	0.769058899176515
Snora5c	1.54916197403557	3.59683105941987	0.663357136630462	0.732144774061668	-1.36523423397265	0.985710253531703	0.423470748708228	0.769058899176515
AW551984	0.280386024359184	0.177768661889316	-0.0674644679649309	0.756854066372811	2.41248884174552	0.995056219876517	0.423483973338818	0.769058899176515
Pdlim3	7.39418535292106	1.76273374677301	1.62935428750502	2.36283043843722	-1.28539723066794	0.987972646927381	0.423509471565016	0.769058899176515
Gm5088	2.48090963723855	1.97743986116845	8.24557001404562	1.06874258205973	-1.23807414146519	0.988476386374691	0.423531351658308	0.769058899176515
Osbp2	0.111694793716836	0.0977529487474407	-0.0883029047876457	-0.222979243379869	4.12208597875925	0.994881629726088	0.423538104434559	0.769058899176515
Zfp14	-0.0971898770049995	-0.127763891817738	0.548846951570931	0.355700731888703	2.03598311162644	0.994860847096628	0.423610056592029	0.769123592718199
Mybpc1	2.20981497432885	3.96584034516005	2.08529559393134	0.365219560760444	-0.698851879507377	0.983681561725145	0.423697384196709	0.769216189057799
Sec31b	0.728100287974835	1.53704203509622	1.08072243122264	0.0451015502450691	1.40717640320229	0.994813912067369	0.42378511545201	0.769275806829663
