"gene"	"DMSO_0h"	"DMSO_1h"	"DMSO_24h"	"DMSO_2h"	"DMSO_6h"	"SW_0h"	"SW_1h"	"SW_24h"	"SW_2h"	"SW_6h"
"Trpd52l3"	-3.41111724633891	-3.13835008692521	-3.54911158167411	-2.84366347175311	-3.85202383436881	-3.41111724633891	-2.68391357233579	-3.58957997391527	-2.15025894983086	-3.35891514926325
"Trpm1"	-2.80737368099361	-2.20246023790391	-3.84849606818021	-0.911288160521146	-3.85358988104233	-2.80737368099361	0.335617805002706	-3.05105861575459	-1.35376854106364	-1.04592190296378
"Trpm2"	-1.95254610469082	-1.94443210217222	-1.83457439520198	-1.44014282764532	-2.17603199455751	-1.95254610469082	0.78173589910612	-0.90070877909176	-0.415026654065657	-0.896461043925006
"Trpm3"	0.855281810111177	0.58045035934365	0.64162859577922	-0.0929790856263725	0.708376822684929	0.855281810111177	2.0255445864151	0.571056012045307	1.03052615148749	0.986390099350086
"Trpm4"	4.28917002421746	4.33915338099905	4.26063965097831	4.33526782089182	4.33638756155846	4.28917002421746	4.18776762536745	4.46439360421681	4.25758917266388	4.37094659275215
"Trpm5"	7.21948470228935	7.16320921367296	6.97517215718724	7.0316860995949	7.07591371336858	7.21948470228935	6.90554911095265	6.58969631511266	6.89564609658347	6.60358253976908
"Trpm6"	-1.96740176162023	-1.50520566130761	-2.6163981701341	-2.59281187591349	-2.84789199133321	-1.96740176162023	0.15830736811721	-2.45773141013611	-0.677715549002009	-1.80668267224733
"Trpm7"	7.35274372349064	7.37834671444817	7.36640371141921	7.32027243064938	7.38167448812991	7.35274372349064	7.13042672572292	7.34067220641872	7.42280962892339	7.33507326207809
"Trpm8"	-1.16147200763568	-1.93240611881539	-1.94981140338766	-1.32673966769032	-3.09615982276032	-1.16147200763568	0.294075969763783	-1.82110156066883	-0.336144497441643	-1.31691123972856
"Trps1"	4.75270720056146	4.81076903120946	4.94525071118709	4.7316584027295	4.85388578805009	4.75270720056146	4.76371547836811	4.92694850598174	4.92040431939626	4.63738802503285
"Trpt1"	2.65591160724732	2.4799234544391	2.44805247941649	2.51023495916304	2.47983671251448	2.65591160724732	2.6873793141817	2.69395373619165	2.43169212497792	2.10779573629106
"Trpv1"	0.255247597297875	0.961503620833128	0.20077642548476	-0.494756125923498	0.475688638292729	0.255247597297875	1.59020924707692	1.26101500855369	0.835508801588304	0.839147640844708
"Trpv2"	1.89871473488113	2.02648265083477	2.12299859693969	2.66847850706688	2.15677351935205	1.89871473488113	2.99030606087249	2.48874733440229	2.14387914764443	2.49116543071983
"Trpv3"	-1.81533630430699	-1.64898512343019	-2.67073695855982	-2.56129111201824	-2.63753600508013	-1.81533630430699	-0.237628548617886	-1.16934554164312	-0.632691152859412	-0.920927145636225
"Trpv4"	0.695962440431391	0.287551277988021	0.0222324299666318	-0.735302936703828	-0.437900684908505	0.695962440431391	2.03457779564683	0.158369647724496	0.806353975269395	0.762158368248854
"Trpv5"	-3.7110565242074	-3.52209379114597	-2.29537162432519	-2.74479230401084	-3.08536558219977	-3.7110565242074	-1.48619969171678	-2.83827099390399	-2.07289474796582	-2.13605218333683
"Trpv6"	-3.5061087860255	-2.92832751865646	-4.01811815273666	-2.51757482284093	-3.22104738901603	-3.5061087860255	-1.32428335645243	-3.52343579558512	-2.7451962275354	-2.42135184307038
"Trrap"	7.81875405397339	7.71986358644894	7.81808196205612	7.61255133292214	7.83186332196847	7.81875405397339	7.64766037658537	7.64992994245266	7.86199844110943	7.54272322437867
"Trub1"	4.30710685490018	4.42325839554527	4.25597435827703	4.75989734900763	4.44461497006666	4.30710685490018	4.21577196740865	4.15922890644002	4.11620972578522	4.30654052592927
"Trub2"	5.05876723283003	5.02165171918525	5.06429624507439	5.06815461759637	5.06848037632638	5.05876723283003	4.64434835007851	5.1443973105806	4.91101346621348	5.13446963264363
"Try10"	-3.33182984577326	-3.44039373096744	-4.01811815273666	-3.61500803881804	-3.85358988104233	-3.33182984577326	-1.980207951104	-4.01811815273666	-3.1330781180468	-2.36478010148304
"Try5"	-3.46713632680091	-3.65388867325697	-2.62980134232452	-3.13689344916465	-2.24349758211747	-3.46713632680091	-0.734362479066452	-2.14751458420182	-2.00151596064116	-1.57137928709766
"Tsacc"	-0.53783861263092	-0.321501401050873	-0.181872812560413	-0.790114788992091	-0.126052875714347	-0.53783861263092	-0.229206824098328	0.0462643166507975	-0.208874534008715	0.539756022336173
"Tsc1"	6.22805976225202	6.2780163825687	6.30423842583656	6.12423833451798	6.32330701133805	6.22805976225202	6.22513999583066	6.48297488705545	6.35853623002062	6.48441520448092
"Tsc2"	7.16598570472204	7.27190584012352	7.30944274499548	7.03463956706894	7.27598401944091	7.16598570472204	7.14028639907423	7.36348765819185	7.27446639608256	7.23507482126171
